# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.300000000000000000e+01,1.974291999999999991e-01,1.003242299999999920e+00,1.036739999999999995e+00,1.003248200000000034e+00,1.003242900000000049e+00,7.708383000000000292e-04,-4.352153000000000382e+00,5.510048999999999936e-04
1.400000000000000000e+01,2.154089999999999894e-01,1.003859099999999893e+00,1.037359200000000037e+00,1.003866799999999948e+00,1.003859300000000010e+00,7.657328999999999612e-04,-3.350851000000000024e+00,6.882726999999999942e-04
1.500000000000000000e+01,2.341282000000000085e-01,1.004558599999999968e+00,1.038061200000000017e+00,1.004567999999999905e+00,1.004557600000000050e+00,7.361825000000000009e-04,-2.609726000000000212e+00,4.027522999999999759e-04
1.600000000000000000e+01,2.531523999999999996e-01,1.005330400000000068e+00,1.038837000000000010e+00,1.005340499999999970e+00,1.005326299999999895e+00,6.247241999999999639e-04,-2.064678999999999931e+00,-8.761497000000000523e-05
1.700000000000000000e+01,2.723657999999999912e-01,1.006173100000000042e+00,1.039682100000000053e+00,1.006181900000000073e+00,1.006162900000000082e+00,4.347406999999999964e-04,-1.658017000000000074e+00,-5.003740000000000444e-04
1.800000000000000000e+01,2.919653999999999860e-01,1.007097899999999990e+00,1.040606200000000037e+00,1.007103599999999988e+00,1.007078600000000046e+00,2.322829000000000050e-04,-1.346119999999999983e+00,-5.989034000000000501e-04
1.900000000000000000e+01,3.123601999999999768e-01,1.008128099999999971e+00,1.041637399999999936e+00,1.008130699999999935e+00,1.008097999999999939e+00,8.723101000000000628e-05,-1.099420000000000064e+00,-5.064502000000000457e-04
2.000000000000000000e+01,3.330563000000000273e-01,1.009244199999999925e+00,1.042758000000000074e+00,1.009243899999999972e+00,1.009201500000000085e+00,-8.317900999999999832e-06,-9.071424999999999628e-01,-4.155219000000000035e-04
2.100000000000000000e+01,3.540839000000000070e-01,1.010451100000000046e+00,1.043970099999999901e+00,1.010448000000000013e+00,1.010393899999999956e+00,-7.000063999999999798e-05,-7.551143000000000161e-01,-4.028724999999999819e-04
2.200000000000000000e+01,3.758094000000000157e-01,1.011776199999999903e+00,1.045300200000000013e+00,1.011769399999999930e+00,1.011700899999999903e+00,-1.283385000000000114e-04,-6.317443999999999837e-01,-5.772416999999999522e-04
2.300000000000000000e+01,3.982760000000000189e-01,1.013232700000000097e+00,1.046762399999999982e+00,1.013218600000000080e+00,1.013132399999999933e+00,-2.220396999999999876e-04,-5.309561999999999893e-01,-8.907545999999999910e-04
2.400000000000000000e+01,4.212068999999999952e-01,1.014810800000000013e+00,1.048345400000000094e+00,1.014784600000000037e+00,1.014676899999999993e+00,-3.499525999999999874e-04,-4.491031999999999802e-01,-1.228188000000000066e-03
2.500000000000000000e+01,4.446727999999999792e-01,1.016522300000000101e+00,1.050057199999999913e+00,1.016477800000000098e+00,1.016344300000000089e+00,-5.060150999999999928e-04,-3.819010999999999934e-01,-1.508526000000000051e-03
2.600000000000000000e+01,4.692503000000000091e-01,1.018419100000000022e+00,1.051953399999999927e+00,1.018349699999999913e+00,1.018184299999999931e+00,-6.716673000000000261e-04,-3.252179000000000042e-01,-1.687282999999999925e-03
2.700000000000000000e+01,4.944428000000000156e-01,1.020472899999999905e+00,1.054009999999999891e+00,1.020372800000000080e+00,1.020169399999999893e+00,-8.280383000000000101e-04,-2.782735000000000070e-01,-1.782289999999999959e-03
2.800000000000000000e+01,5.202892000000000072e-01,1.022694599999999898e+00,1.056233800000000000e+00,1.022558400000000089e+00,1.022309499999999982e+00,-9.672886999999999805e-04,-2.390992000000000117e-01,-1.838102000000000095e-03
