# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
4.200000000000000000e+01,1.062973200000000062e+01,4.359746999999999595e+00,2.513041999999999776e-01,4.611051400000000022e+00,2.043522000000000116e-01,-1.804619999999999835e-02,3.487649999999999778e-02,2.392286999999999886e-01,3.966960999999999959e+00,7.458729999999999527e-02,6.883399999999999588e-03,-1.348600000000000076e-01
4.300000000000000000e+01,1.205812599999999968e+01,4.633617000000000097e+00,3.027839999999999976e-01,4.936401299999999992e+00,1.808656999999999904e-01,-1.544279999999999958e-02,3.707719999999999766e-02,2.179428999999999950e-01,4.067897099999999710e+00,6.748830000000000107e-02,6.018500000000000412e-03,-1.327099999999999946e-01
4.400000000000000000e+01,1.356645699999999977e+01,4.889114000000000182e+00,3.603603000000000223e-01,5.249474300000000149e+00,1.591654000000000124e-01,-1.361459999999999927e-02,3.915790000000000243e-02,1.983233000000000079e-01,4.164633799999999830e+00,6.139410000000000006e-02,5.300499999999999656e-03,-1.307200000000000029e-01
4.500000000000000000e+01,1.513974100000000078e+01,5.122747000000000384e+00,4.235844000000000276e-01,5.546331300000000297e+00,1.390131000000000006e-01,-1.208219999999999954e-02,4.111530000000000046e-02,1.801282999999999912e-01,4.256726399999999799e+00,5.616079999999999683e-02,4.703899999999999575e-03,-1.289099999999999968e-01
4.600000000000000000e+01,1.676106800000000163e+01,5.332281000000000049e+00,4.917982000000000187e-01,5.824079399999999573e+00,1.206382000000000010e-01,-1.071169999999999935e-02,4.293310000000000182e-02,1.635713000000000028e-01,4.343814100000000344e+00,5.166029999999999928e-02,4.207200000000000349e-03,-1.272899999999999865e-01
4.700000000000000000e+01,1.841121400000000108e+01,5.516911999999999594e+00,5.640886999999999984e-01,6.081000399999999750e+00,1.040061999999999931e-01,-9.592500000000000332e-03,4.457880000000000176e-02,1.485849999999999949e-01,4.425612199999999774e+00,4.778400000000000009e-02,3.792999999999999931e-03,-1.258499999999999897e-01
4.800000000000000000e+01,2.007018000000000058e+01,5.676309999999999967e+00,6.393280999999999548e-01,6.315637899999999583e+00,8.890420000000000267e-02,-8.677799999999999403e-03,4.603800000000000253e-02,1.349422000000000121e-01,4.501905299999999777e+00,4.443729999999999902e-02,3.447099999999999817e-03,-1.245700000000000002e-01
4.900000000000000000e+01,2.171676000000000073e+01,5.810965999999999632e+00,7.162524999999999586e-01,6.527218200000000081e+00,7.531090000000000007e-02,-7.897599999999999412e-03,4.730870000000000214e-02,1.226195000000000063e-01,4.572539899999999768e+00,4.153950000000000004e-02,3.157699999999999830e-03,-1.234299999999999981e-01
5.000000000000000000e+01,2.333032400000000095e+01,5.922257000000000104e+00,7.935225000000000195e-01,6.715779300000000340e+00,6.313340000000000618e-02,-7.241899999999999900e-03,4.838259999999999783e-02,1.115159000000000011e-01,4.637419000000000402e+00,3.902069999999999844e-02,2.915500000000000123e-03,-1.223800000000000027e-01
5.100000000000000000e+01,2.489023099999999999e+01,6.011934000000000111e+00,8.697409000000000390e-01,6.881674699999999589e+00,5.229670000000000152e-02,-6.688300000000000321e-03,4.925999999999999823e-02,1.015566999999999998e-01,4.696496299999999735e+00,3.681940000000000213e-02,2.712800000000000020e-03,-1.213700000000000057e-01
5.200000000000000000e+01,2.637776500000000013e+01,6.082361999999999824e+00,9.435829999999999496e-01,7.025945100000000387e+00,4.271470000000000128e-02,-6.215799999999999624e-03,4.994040000000000284e-02,9.265500000000000125e-02,4.749772799999999684e+00,3.488080000000000347e-02,2.543300000000000075e-03,-1.203499999999999986e-01
5.300000000000000000e+01,2.777532599999999974e+01,6.135977999999999710e+00,1.013771299999999931e+00,7.149749199999999583e+00,3.432419999999999916e-02,-5.810400000000000287e-03,5.042300000000000254e-02,8.474719999999999476e-02,4.797293899999999667e+00,3.315309999999999785e-02,2.402000000000000055e-03,-1.192300000000000026e-01
5.400000000000000000e+01,2.906842899999999830e+01,6.175529000000000046e+00,1.079213999999999896e+00,7.254743300000000339e+00,2.704200000000000007e-02,-5.454200000000000194e-03,5.070159999999999945e-02,7.774359999999999604e-02,4.839147600000000438e+00,3.158650000000000346e-02,2.284800000000000025e-03,-1.179100000000000009e-01
5.500000000000000000e+01,3.024463000000000079e+01,6.203543999999999947e+00,1.138948400000000083e+00,7.342492299999999972e+00,2.081639999999999879e-02,-5.138900000000000065e-03,5.076039999999999719e-02,7.157679999999999598e-02,4.875464700000000207e+00,3.012609999999999941e-02,2.188299999999999794e-03,-1.162300000000000000e-01
5.600000000000000000e+01,3.129554399999999958e+01,6.222602000000000189e+00,1.192269299999999976e+00,7.414871200000000329e+00,1.556049999999999968e-02,-4.842400000000000176e-03,5.057960000000000234e-02,6.614009999999999334e-02,4.906419999999999781e+00,2.871200000000000141e-02,2.109499999999999830e-03,-1.140199999999999964e-01
5.700000000000000000e+01,3.221548700000000309e+01,6.234843999999999831e+00,1.238672299999999948e+00,7.473516000000000048e+00,1.123380000000000038e-02,-4.562499999999999716e-03,5.010169999999999901e-02,6.133550000000000113e-02,4.932234600000000135e+00,2.726430000000000173e-02,2.046300000000000029e-03,-1.110000000000000014e-01
5.800000000000000000e+01,3.300347000000000008e+01,6.242295999999999623e+00,1.277922400000000014e+00,7.520218800000000314e+00,7.733600000000000196e-03,-4.280400000000000177e-03,4.923419999999999880e-02,5.696779999999999899e-02,4.953180599999999600e+00,2.568029999999999965e-02,1.996500000000000011e-03,-1.067599999999999938e-01
5.900000000000000000e+01,3.366158000000000072e+01,6.246438000000000379e+00,1.310006999999999922e+00,7.556445199999999751e+00,5.005400000000000127e-03,-3.928400000000000294e-03,4.784189999999999970e-02,5.284729999999999983e-02,4.969585600000000269e+00,2.380470000000000155e-02,1.958399999999999898e-03,-1.006800000000000056e-01
6.000000000000000000e+01,3.419691499999999706e+01,6.248556999999999917e+00,1.335221900000000073e+00,7.583778800000000153e+00,2.996899999999999824e-03,-3.486500000000000016e-03,4.569109999999999838e-02,4.868800000000000211e-02,4.981840199999999719e+00,2.141979999999999926e-02,1.930599999999999981e-03,-9.185100000000000209e-02
6.100000000000000000e+01,3.461975100000000083e+01,6.249502999999999808e+00,1.354070799999999908e+00,7.603574000000000055e+00,1.611299999999999972e-03,-2.942499999999999803e-03,4.246400000000000174e-02,4.407529999999999781e-02,4.990405700000000166e+00,1.821120000000000030e-02,1.911300000000000108e-03,-7.893500000000000516e-02
6.200000000000000000e+01,3.494540800000000047e+01,6.249870999999999732e+00,1.367369499999999904e+00,7.617240200000000350e+00,7.368999999999999682e-04,-2.258000000000000024e-03,3.793250000000000094e-02,3.866939999999999961e-02,4.995823099999999961e+00,1.385439999999999935e-02,1.899300000000000033e-03,-6.054099999999999759e-02
6.300000000000000000e+01,3.519227500000000219e+01,6.249978999999999729e+00,1.376190299999999977e+00,7.626169700000000162e+00,2.594000000000000168e-04,-1.468899999999999980e-03,3.249989999999999823e-02,3.275940000000000102e-02,4.998722899999999747e+00,8.403799999999999465e-03,1.892900000000000095e-03,-3.694399999999999767e-02
6.400000000000000000e+01,3.538365300000000246e+01,6.250002000000000280e+00,1.381930700000000067e+00,7.631932899999999798e+00,4.740000000000000018e-05,-6.664000000000000435e-04,2.755960000000000007e-02,2.760690000000000019e-02,4.999835299999999982e+00,3.215599999999999882e-03,1.890399999999999980e-03,-1.420100000000000008e-02
6.500000000000000000e+01,3.554574800000000323e+01,6.250000000000000000e+00,1.386063599999999951e+00,7.636063599999999951e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.343399999999999997e-02,2.343399999999999997e-02,5.000000000000000000e+00,0.000000000000000000e+00,1.889999999999999970e-03,0.000000000000000000e+00
