# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
4.700000000000000000e+01,7.146090000000000497e-01,6.179980000000000473e-01,5.659199999999999647e-03,6.236576999999999815e-01,4.010545999999999833e-01,2.858601000000000059e-01,7.262399999999999585e-03,4.083169999999999855e-01,2.481464200000000009e+00,1.290001699999999918e+00,6.142500000000000043e-02,-4.276699999999999946e-01
4.800000000000000000e+01,8.450499999999999678e-01,6.724160000000000137e-01,6.864300000000000263e-03,6.792804999999999538e-01,4.177588999999999886e-01,7.075069999999999970e-02,8.303500000000000117e-03,4.260624000000000078e-01,2.639437099999999869e+00,1.163590200000000019e+00,4.970800000000000218e-02,-3.967700000000000116e-01
4.900000000000000000e+01,1.019546000000000063e+00,7.454479999999999995e-01,8.094999999999999765e-03,7.535425999999999513e-01,4.167267000000000055e-01,-1.938259999999999983e-02,7.529199999999999782e-03,4.242559000000000191e-01,2.831395099999999942e+00,1.050981699999999908e+00,3.869500000000000023e-02,-3.497899999999999898e-01
5.000000000000000000e+01,1.241660999999999904e+00,8.375000000000000222e-01,9.902100000000000485e-03,8.474015999999999771e-01,4.086139999999999772e-01,-4.531700000000000311e-02,8.330300000000000551e-03,4.169441999999999870e-01,3.050954799999999967e+00,9.426151999999999864e-01,2.932799999999999990e-02,-3.149299999999999877e-01
5.100000000000000000e+01,1.517814999999999914e+00,9.483420000000000183e-01,1.226930000000000034e-02,9.606114000000000042e-01,3.930807000000000051e-01,-5.579579999999999956e-02,8.925499999999999406e-03,4.020062999999999831e-01,3.295509800000000045e+00,8.440315999999999930e-01,2.179400000000000087e-02,-2.849599999999999911e-01
5.200000000000000000e+01,1.857650000000000023e+00,1.078454999999999941e+00,1.545030000000000014e-02,1.093904900000000069e+00,3.743085999999999913e-01,-5.064969999999999889e-02,9.745500000000000690e-03,3.840542000000000122e-01,3.564968700000000101e+00,7.557139999999999969e-01,1.593699999999999978e-02,-2.604699999999999793e-01
5.300000000000000000e+01,2.273588999999999860e+00,1.229786000000000046e+00,1.969989999999999936e-02,1.249485500000000027e+00,3.555777999999999994e-01,-4.171060000000000045e-02,1.064090000000000001e-02,3.662187000000000081e-01,3.860362799999999872e+00,6.768849000000000116e-01,1.149400000000000074e-02,-2.393599999999999894e-01
5.400000000000000000e+01,2.781752000000000002e+00,1.405353999999999992e+00,2.537050000000000069e-02,1.430724300000000060e+00,3.364443999999999768e-01,-3.588879999999999848e-02,1.159660000000000031e-02,3.480409999999999893e-01,4.183656000000000041e+00,6.048474999999999824e-01,8.188400000000000192e-03,-2.201799999999999868e-01
5.500000000000000000e+01,3.402509999999999923e+00,1.607340999999999909e+00,3.290089999999999681e-02,1.640241999999999978e+00,3.155031999999999837e-01,-3.191070000000000018e-02,1.262770000000000038e-02,3.281309000000000031e-01,4.535346099999999936e+00,5.390032000000000156e-01,5.779099999999999689e-03,-2.025599999999999901e-01
5.600000000000000000e+01,4.160282999999999731e+00,1.837277000000000049e+00,4.292920000000000069e-02,1.880206499999999892e+00,2.930094999999999783e-01,-2.780689999999999898e-02,1.376929999999999994e-02,3.067789000000000210e-01,4.918307200000000101e+00,4.798059000000000074e-01,4.042999999999999719e-03,-1.864699999999999969e-01
5.700000000000000000e+01,5.085009000000000334e+00,2.096464000000000105e+00,5.626620000000000232e-02,2.152730099999999869e+00,2.694140999999999897e-01,-2.374779999999999947e-02,1.501500000000000057e-02,2.844290999999999903e-01,5.333139799999999653e+00,4.258451999999999793e-01,2.811300000000000084e-03,-1.713899999999999868e-01
5.800000000000000000e+01,6.211488000000000120e+00,2.385035999999999934e+00,7.399329999999999796e-02,2.459029000000000131e+00,2.450894000000000128e-01,-1.975970000000000157e-02,1.638500000000000026e-02,2.614743999999999957e-01,5.781619199999999736e+00,3.774435999999999902e-01,1.945899999999999973e-03,-1.574299999999999866e-01
5.900000000000000000e+01,7.579996000000000400e+00,2.702017999999999809e+00,9.749410000000000021e-02,2.799512200000000117e+00,2.210969000000000129e-01,-1.570320000000000049e-02,1.786149999999999891e-02,2.389583999999999875e-01,6.263770599999999966e+00,3.336991999999999736e-01,1.344300000000000096e-03,-1.443000000000000116e-01
6.000000000000000000e+01,9.236067999999999500e+00,3.047069000000000027e+00,1.284548000000000079e-01,3.175523500000000165e+00,1.987559999999999882e-01,-1.214329999999999923e-02,1.939799999999999858e-02,2.181539000000000117e-01,6.779085099999999642e+00,2.943496999999999919e-01,9.292700000000000526e-04,-1.318900000000000072e-01
6.100000000000000000e+01,1.122956699999999941e+01,3.420253999999999905e+00,1.688109999999999888e-01,3.589065300000000125e+00,1.777807999999999888e-01,-9.512899999999999481e-03,2.097970000000000043e-02,1.987606000000000095e-01,7.325515499999999847e+00,2.592274999999999996e-01,6.447399999999999833e-04,-1.202300000000000035e-01
